time,x,y,z
0.61,1.4725620000000028,0.42965999999999865,0.3007619999999976
0.62,1.5200640000000023,0.4435199999999986,0.3104639999999973
0.63,1.5683200000000017,0.4575999999999985,0.320319999999997
0.64,1.617330000000001,0.47189999999999843,0.3303299999999967
0.65,1.6670940000000003,0.48641999999999835,0.34049399999999636
0.66,1.7176119999999995,0.5011599999999983,0.350811999999996
0.67,1.7688839999999986,0.5161199999999982,0.36128399999999566
0.68,1.8209099999999976,0.5312999999999982,0.3719099999999953
0.6900000000000001,1.8736899999999965,0.5466999999999982,0.3826899999999949
0.7000000000000001,1.9272239999999954,0.5623199999999982,0.39362399999999453
0.71,1.9815119999999942,0.5781599999999981,0.40471199999999413
0.72,2.036553999999993,0.5942199999999981,0.4159539999999937
0.73,2.092349999999992,0.610499999999998,0.4273499999999933
0.74,2.1488999999999914,0.626999999999998,0.43889999999999285
0.75,2.2062039999999907,0.643719999999998,0.4506039999999924
0.76,2.2642619999999902,0.6606599999999979,0.46246199999999194
0.77,2.32307399999999,0.6778199999999979,0.47447399999999146
0.78,2.3826399999999897,0.6951999999999978,0.48663999999999097
0.79,2.4429599999999896,0.7127999999999978,0.49895999999999047
0.8,2.5040339999999897,0.7306199999999977,0.51143399999999
0.81,2.56586199999999,0.7486599999999977,0.5240619999999894
0.8200000000000001,2.6284439999999902,0.7669199999999976,0.5368439999999888
0.8300000000000001,2.6917799999999907,0.7853999999999975,0.5497799999999882
0.84,2.7558699999999914,0.8040999999999975,0.5628699999999875
0.85,2.820713999999992,0.8230199999999974,0.5761139999999869
0.86,2.886311999999993,0.8421599999999974,0.5895119999999863
0.87,2.952663999999994,0.8615199999999973,0.6030639999999856
0.88,3.0197699999999954,0.8810999999999972,0.6167699999999849
0.89,3.0876299999999968,0.9008999999999971,0.6306299999999843
0.9,3.1562439999999983,0.9209199999999971,0.6446439999999836
0.91,3.225612,0.941159999999997,0.6588119999999829
0.92,3.2957340000000017,0.9616199999999969,0.6731339999999821
0.93,3.3666100000000037,0.9822999999999968,0.6876099999999814
0.9400000000000001,3.4382400000000057,1.003199999999997,0.7022399999999807
0.9500000000000001,3.510624000000008,1.0243199999999972,0.7170239999999799
0.96,3.5837620000000103,1.0456599999999976,0.7319619999999791
0.97,3.657654000000013,1.067219999999998,0.7470539999999783
0.98,3.7323000000000155,1.0889999999999986,0.7622999999999776
0.99,3.8077000000000183,1.1109999999999993,0.7776999999999767
1,3.8838540000000212,1.1332200000000001,0.7932539999999759
1.01,3.9607620000000243,1.155660000000001,0.8089619999999751
1.02,4.038424000000027,1.178320000000002,0.8248239999999742
