time,x,y
1.27,6.225023999999999,1.8163200000000628
1.28,6.3222899999999935,1.8447000000000666
1.29,6.420309999999988,1.8733000000000706
1.3,6.519083999999983,1.9021200000000746
1.31,6.618611999999977,1.9311600000000788
1.32,6.71889399999997,1.960420000000083
1.33,6.819929999999964,1.9899000000000875
1.34,6.921719999999957,2.019600000000092
1.35,7.02426399999995,2.0495200000000966
1.36,7.127561999999942,2.0796600000001013
1.37,7.231613999999935,2.110020000000106
1.3800000000000001,7.336419999999927,2.140600000000111
1.3900000000000001,7.441979999999918,2.171400000000116
1.4000000000000001,7.54829399999991,2.2024200000001213
1.41,7.655361999999901,2.2336600000001265
1.42,7.7631839999998915,2.265120000000132
1.43,7.871759999999882,2.2968000000001374
1.44,7.981089999999872,2.328700000000143
1.45,8.091173999999864,2.3608200000001487
1.46,8.202011999999856,2.3931600000001545
1.47,8.313603999999849,2.4257200000001604
1.48,8.425949999999842,2.4585000000001664
1.49,8.539049999999836,2.4915000000001726
1.5,8.65290399999983,2.524720000000179
1.51,8.767511999999826,2.558160000000185
1.52,8.882873999999822,2.5918200000001916
1.53,8.998989999999818,2.625700000000198
1.54,9.115859999999815,2.659800000000205
1.55,9.233483999999812,2.6941200000002117
1.56,9.35186199999981,2.7286600000002186
1.57,9.47099399999981,2.7634200000002256
1.58,9.590879999999808,2.7984000000002327
1.59,9.711519999999808,2.83360000000024
1.6,9.832913999999809,2.8690200000002473
1.61,9.95506199999981,2.9046600000002547
1.62,10.077963999999811,2.9405200000002623
1.6300000000000001,10.201619999999814,2.97660000000027
1.6400000000000001,10.326029999999816,3.0129000000002777
1.6500000000000001,10.45119399999982,3.0494200000002856
1.6600000000000001,10.577111999999824,3.0861600000002936
1.67,10.703783999999828,3.1231200000003017
1.68,10.831209999999833,3.16030000000031
1.69,10.95938999999984,3.197700000000318
1.7,11.088323999999846,3.2353200000003266
1.71,11.218011999999852,3.273160000000335
1.72,11.34845399999986,3.3112200000003438
1.73,11.479649999999868,3.3495000000003525
1.74,11.611599999999877,3.3880000000003614
1.75,11.744303999999886,3.4267200000003704
1.76,11.877761999999896,3.4656600000003794
1.77,12.011973999999906,3.5048200000003886
1.78,12.146939999999917,3.544200000000398
1.79,12.282659999999929,3.5838000000004073
1.8,12.419133999999941,3.623620000000417
1.81,12.556361999999954,3.6636600000004265
1.82,12.694343999999967,3.703920000000436
1.83,12.833079999999981,3.744400000000446
1.84,12.972569999999996,3.785100000000456
1.85,13.11281400000001,3.826020000000466
1.86,13.253812000000027,3.867160000000476
1.87,13.395564000000043,3.9085200000004865
1.8800000000000001,13.53807000000006,3.950100000000497
1.8900000000000001,13.681330000000077,3.9919000000005074
1.9000000000000001,13.825344000000095,4.033920000000518
1.9100000000000001,13.970112000000114,4.076160000000528
1.92,14.115634000000133,4.118620000000538
1.93,14.261910000000153,4.161300000000548
1.94,14.408940000000173,4.204200000000557
1.95,14.556724000000195,4.247320000000566
1.96,14.705262000000216,4.290660000000575
1.97,14.854554000000238,4.334220000000583
1.98,15.004600000000261,4.378000000000591
1.99,15.155400000000284,4.422000000000598
2,15.306954000000308,4.466220000000606
2.0100000000000002,15.459262000000333,4.5106600000006125
2.02,15.612324000000358,4.555320000000619
2.0300000000000002,15.766140000000384,4.600200000000625
2.04,15.92071000000041,4.645300000000631
2.05,16.076034000000437,4.690620000000637
2.06,16.232112000000463,4.736160000000642
2.07,16.38894400000049,4.781920000000647
2.08,16.546530000000516,4.827900000000652
2.09,16.704870000000543,4.874100000000656
2.1,16.86396400000057,4.92052000000066
2.11,17.0238120000006,4.967160000000663
2.12,17.18441400000063,5.0140200000006665
2.13,17.34577000000066,5.061100000000669
2.14,17.50788000000069,5.108400000000672
2.15,17.67074400000072,5.155920000000674
2.16,17.834362000000752,5.203660000000676
2.17,17.998734000000784,5.251620000000678
2.18,18.163860000000817,5.299800000000679
2.19,18.32974000000085,5.34820000000068
2.2,18.496374000000884,5.39682000000068
2.21,18.66376200000092,5.4456600000006805
2.22,18.831904000000954,5.49472000000068
2.23,19.00080000000099,5.54400000000068
2.24,19.170450000001026,5.593500000000679
2.25,19.340854000001062,5.643220000000678
2.2600000000000002,19.5120120000011,5.693160000000677
2.27,19.683924000001138,5.743320000000675
2.2800000000000002,19.856590000001177,5.793700000000673
2.29,20.030010000001216,5.84430000000067
2.3000000000000003,20.204184000001256,5.895120000000667
2.31,20.379112000001296,5.946160000000664
2.32,20.554794000001337,5.997420000000661
2.33,20.73123000000138,6.048900000000657
2.34,20.90842000000142,6.100600000000653
2.35,21.086364000001463,6.152520000000648
2.36,21.265062000001507,6.2046600000006435
2.37,21.44451400000155,6.257020000000638
2.38,21.624720000001595,6.309600000000633
2.39,21.80568000000164,6.362400000000627
2.4,21.987394000001686,6.415420000000621
2.41,22.169862000001732,6.4686600000006145
2.42,22.35308400000178,6.522120000000608
2.43,22.537060000001826,6.5758000000006005
2.44,22.721790000001874,6.629700000000593
2.45,22.907274000001923,6.683820000000585
2.46,23.093512000001972,6.738160000000577
2.47,23.280504000002022,6.7927200000005685
2.48,23.468250000002072,6.84750000000056
2.49,23.656750000002123,6.9025000000005505
2.5,23.846004000002175,6.957720000000541
2.5100000000000002,24.036012000002227,7.013160000000531
2.52,24.22677400000228,7.068820000000521
2.5300000000000002,24.418290000002333,7.1247000000005105
2.54,24.610560000002387,7.1808000000005
2.5500000000000003,24.80358400000244,7.2371200000004885
2.56,24.997362000002497,7.293660000000477
2.57,25.191894000002552,7.350420000000465
2.58,25.38718000000261,7.407400000000453
2.59,25.583220000002665,7.46460000000044
2.6,25.780014000002723,7.522020000000428
2.61,25.97756200000278,7.579660000000414
2.62,26.17586400000284,7.637520000000401
2.63,26.3749200000029,7.695600000000387
2.64,26.57473000000296,7.753900000000373
2.65,26.77529400000302,7.812420000000358
2.66,26.97661200000308,7.871160000000343
2.67,27.17868400000314,7.930120000000328
2.68,27.381510000003203,7.989300000000313
2.69,27.585090000003266,8.048700000000297
2.7,27.78942400000333,8.108320000000282
2.71,27.994512000003393,8.168160000000267
2.72,28.200354000003458,8.228220000000253
2.73,28.406950000003523,8.288500000000239
2.74,28.61430000000359,8.349000000000226
2.75,28.822404000003655,8.409720000000213
2.7600000000000002,29.03126200000372,8.470660000000201
2.77,29.24087400000379,8.53182000000019
2.7800000000000002,29.451240000003857,8.593200000000179
2.79,29.662360000003925,8.654800000000169
2.8000000000000003,29.874234000003995,8.716620000000159
2.81,30.086862000004064,8.77866000000015
2.82,30.300244000004135,8.84092000000014
2.83,30.514380000004206,8.903400000000133
2.84,30.729270000004277,8.966100000000125
2.85,30.94491400000435,9.029020000000118
2.86,31.161312000004422,9.092160000000112
2.87,31.378464000004495,9.155520000000106
2.88,31.59637000000457,9.2191000000001
2.89,31.815030000004644,9.282900000000096
2.9,32.03444400000472,9.346920000000091
2.91,32.2546120000048,9.411160000000088
2.92,32.47553400000488,9.475620000000085
2.93,32.69721000000496,9.540300000000082
2.94,32.91964000000504,9.60520000000008
2.95,33.14282400000512,9.670320000000078
2.96,33.3667620000052,9.735660000000077
2.97,33.591454000005285,9.801220000000077
2.98,33.81690000000537,9.867000000000077
2.99,34.04310000000545,9.933000000000078
3,34.27005400000554,9.99922000000008
3.0100000000000002,34.49776200000562,10.065660000000081
3.02,34.72622400000571,10.132320000000083
3.0300000000000002,34.955440000005794,10.199200000000086
3.04,35.18541000000588,10.26630000000009
3.0500000000000003,35.41613400000597,10.333620000000094
3.06,35.647612000006056,10.401160000000099
3.0700000000000003,35.879844000006145,10.468920000000104
3.08,36.112830000006234,10.53690000000011
3.09,36.346570000006324,10.605100000000116
3.1,36.581064000006414,10.673520000000122
3.11,36.816312000006505,10.74216000000013
3.12,37.0523140000066,10.811020000000138
3.13,37.28907000000669,10.880100000000146
3.14,37.52658000000678,10.949400000000155
3.15,37.764844000006875,11.018920000000165
3.16,38.00386200000697,11.088660000000175
3.17,38.24363400000706,11.158620000000186
3.18,38.48416000000716,11.228800000000197
3.19,38.725440000007254,11.299200000000209
3.2,38.96747400000735,11.369820000000221
3.21,39.21026200000745,11.440660000000234
3.22,39.453804000007544,11.511720000000247
3.23,39.69810000000764,11.583000000000261
3.24,39.94315000000774,11.654500000000276
3.25,40.18895400000784,11.726220000000291
3.2600000000000002,40.43551200000794,11.798160000000307
3.27,40.68282400000804,11.870320000000323
3.2800000000000002,40.93089000000814,11.94270000000034
3.29,41.17971000000824,12.015300000000357
3.3000000000000003,41.429284000008344,12.088120000000375
3.31,41.67961200000845,12.161160000000393
3.3200000000000003,41.93069400000855,12.234420000000412
3.33,42.182530000008654,12.307900000000432
3.34,42.43512000000876,12.381600000000452
3.35,42.688464000008864,12.455520000000472
3.36,42.94256200000897,12.529660000000494
3.37,43.197414000009076,12.604020000000515
3.38,43.45302000000918,12.678600000000538
3.39,43.70938000000929,12.75340000000056
3.4,43.9664940000094,12.828420000000584
3.41,44.224362000009506,12.903660000000608
3.42,44.482984000009615,12.979120000000632
3.43,44.742360000009725,13.054800000000657
3.44,45.002490000009836,13.130700000000683
3.45,45.26337400000995,13.20682000000071
3.46,45.52501200001006,13.283160000000736
3.47,45.78740400001017,13.359720000000763
3.48,46.05055000001028,13.436500000000791
3.49,46.314450000010396,13.51350000000082
3.5,46.57910400001051,13.590720000000848
3.5100000000000002,46.844512000010624,13.668160000000878
3.52,47.11067400001074,13.745820000000908
3.5300000000000002,47.377590000010855,13.823700000000938
3.54,47.64526000001097,13.90180000000097
3.5500000000000003,47.91368400001109,13.980120000001001
3.56,48.182862000011205,14.058660000001034
3.5700000000000003,48.45279400001132,14.137420000001066
3.58,48.72348000001144,14.2164000000011
3.59,48.99492000001156,14.295600000001134
3.6,49.26711400001168,14.375020000001168
3.61,49.5400620000118,14.454660000001203
3.62,49.81376400001192,14.534520000001239
3.63,50.08822000001204,14.614600000001275
3.64,50.363430000012166,14.694900000001311
3.65,50.63939400001229,14.775420000001349
3.66,50.91611200001241,14.856160000001386
3.67,51.193584000012535,14.937120000001425
3.68,51.47181000001266,15.018300000001464
3.69,51.750790000012785,15.099700000001503
3.7,52.03052400001291,15.181320000001543
